iter	RMSE
0	30.62285395
1	30.10119584
2	29.64195003
3	29.1410534
4	28.69867634
5	28.21779229
6	27.86506988
7	27.44424477
8	26.98842141
9	26.96833124
10	26.56363794
11	26.19322613
12	25.76556162
13	25.34804104
14	24.94047526
15	24.54267844
16	24.17923556
17	23.79780018
18	23.53572578
19	23.16572785
20	22.80473134
21	22.45256701
22	22.12575122
23	21.84917932
24	21.51593608
25	21.24698688
26	20.92606958
27	20.61315777
28	20.31714025
29	20.02643017
30	19.74093093
31	19.48543131
32	19.20864734
33	18.93037847
34	18.69374873
35	18.42598253
36	18.20690123
37	17.95091361
38	17.69680674
39	17.44993768
40	17.23181346
41	17.01577375
42	16.80307657
43	16.59303811
44	16.38562513
45	16.25853943
46	16.03140074
47	15.83926465
48	15.64127383
49	15.5210078
50	15.3269952
51	15.11233997
52	14.90240202
53	14.71612199
54	14.51163305
55	14.31079015
56	14.1135281
57	13.91978302
58	13.72949228
59	13.54504888
60	13.4342848
61	13.26635624
62	13.0854558
63	12.91178456
64	12.80582269
65	12.6457499
66	12.49211819
67	12.32204955
68	12.16802393
69	12.02017005
70	11.87423302
71	11.72580511
72	11.57923254
73	11.43449213
74	11.29156098
75	11.15041646
76	11.01515315
77	10.88164578
78	10.74562521
79	10.61130489
80	10.47866358
81	10.34768028
82	10.21833427
83	10.09060509
84	9.964472529
85	9.83991662
86	9.716917661
87	9.595456188
88	9.475512984
89	9.360767752
90	9.243758153
91	9.128211175
92	9.014108533
93	8.901432175
94	8.790164271
95	8.680287216
96	8.571783624
97	8.464636327
98	8.358828372
99	8.254343015
100	8.151163726
101	8.049274178
102	7.948658249
103	7.84930002
104	7.751183768
105	7.654293969
106	7.558615293
107	7.464132601
108	7.370830942
109	7.278695554
110	7.187711858
111	7.097865458
112	7.009142139
113	6.921527861
114	6.835008761
115	6.749571151
116	6.66520151
117	6.58188649
118	6.499612907
119	6.418367745
120	6.338138147
121	6.258911419
122	6.180675025
123	6.103416586
124	6.027123878
125	5.951784828
126	5.877387516
127	5.803920171
128	5.731371168
129	5.659729028
130	5.588982414
131	5.519120132
132	5.45013113
133	5.38200449
134	5.314729432
135	5.248295314
136	5.182691621
137	5.117907975
138	5.053934124
139	4.990759947
140	4.928375447
141	4.866770753
142	4.805936117
143	4.745861915
144	4.68653864
145	4.627956906
146	4.570107444
147	4.5129811
148	4.456568836
149	4.400861724
150	4.345850952
151	4.291527814
152	4.237883716
153	4.184910168
154	4.132598791
155	4.080941305
156	4.029929538
157	3.979555418
158	3.929810974
159	3.880688336
160	3.832179732
161	3.784277484
162	3.736974015
163	3.690261839
164	3.644133565
165	3.598581895
166	3.553599621
167	3.509179625
168	3.465314879
169	3.421998442
170	3.379223461
171	3.336983167
172	3.295270877
173	3.25407999
174	3.21340399
175	3.173236439
176	3.133570983
177	3.094401346
178	3.055721328
179	3.017524811
180	2.97980575
181	2.942558178
182	2.9057762
183	2.869453997
184	2.833585821
185	2.798165998
186	2.763188923
187	2.728649061
188	2.694540947
189	2.660859185
190	2.627598444
191	2.594753463
192	2.562319044
193	2.530290056
194	2.49866143
195	2.467428161
196	2.436585309
197	2.406127992
198	2.376051392
199	2.346350749
200	2.317021364
201	2.288058597
202	2.259457864
203	2.23121464
204	2.203324457
205	2.1757829
206	2.148585614
207	2.121728293
208	2.095206689
209	2.069016605
210	2.043153897
211	2.017614473
212	1.992394292
213	1.967489363
214	1.942895745
215	1.918609548
216	1.894626929
217	1.870944092
218	1.84755729
219	1.824462824
220	1.801657038
221	1.779136325
222	1.75689712
223	1.734935906
224	1.713249207
225	1.691833591
226	1.670685671
227	1.6498021
228	1.629179573
229	1.608814828
230	1.588704643
231	1.568845834
232	1.549235261
233	1.52986982
234	1.510746447
235	1.491862116
236	1.47321384
237	1.454798666
238	1.436613683
239	1.418656011
240	1.400922811
241	1.383411276
242	1.366118634
243	1.349042151
244	1.332179124
245	1.315526885
246	1.299082798
247	1.282844263
248	1.26680871
249	1.250973601
250	1.23533643
251	1.219894725
252	1.20464604
253	1.189587965
254	1.174718115
255	1.160034138
256	1.145533711
257	1.13121454
258	1.117074358
259	1.103110928
260	1.089322041
261	1.075705516
262	1.062259196
263	1.048980956
264	1.035868694
265	1.022920335
266	1.010133831
267	0.9975071578
268	0.9850383181
269	0.972725339
270	0.9605662721
271	0.9485591935
272	0.9367022034
273	0.9249934257
274	0.9134310077
275	0.9020131199
276	0.8907379558
277	0.8796037311
278	0.8686086843
279	0.8577510756
