iter	Passed	Remaining
0	11	5888
1	18	4647
2	37	6196
3	49	6182
4	67	6670
5	77	6400
6	97	6842
7	112	6903
8	125	6833
9	135	6652
10	154	6856
11	170	6920
12	180	6759
13	190	6600
14	199	6453
15	209	6324
16	230	6544
17	241	6463
18	252	6401
19	265	6367
20	275	6292
21	285	6210
22	300	6241
23	320	6349
24	329	6264
25	349	6364
26	358	6281
27	368	6207
28	382	6213
29	396	6218
30	411	6219
31	425	6222
32	441	6243
33	451	6181
34	471	6260
35	481	6202
36	496	6208
37	510	6209
38	520	6150
39	534	6147
40	554	6202
41	568	6196
42	587	6242
43	607	6293
44	630	6373
45	647	6390
46	663	6393
47	679	6396
48	704	6480
49	719	6473
50	738	6502
51	754	6497
52	763	6441
53	784	6477
54	799	6470
55	821	6510
56	839	6527
57	857	6537
58	876	6550
59	887	6506
60	902	6497
61	921	6512
62	937	6502
63	947	6452
64	961	6435
65	980	6449
66	995	6435
67	1010	6420
68	1030	6435
69	1046	6425
70	1060	6408
71	1080	6422
72	1100	6436
73	1119	6446
74	1139	6458
75	1159	6471
76	1176	6462
77	1192	6449
78	1215	6475
79	1239	6507
80	1259	6513
81	1278	6514
82	1296	6514
83	1315	6517
84	1336	6526
85	1356	6530
86	1375	6531
87	1395	6532
88	1414	6532
89	1429	6510
90	1448	6512
91	1468	6514
92	1488	6513
93	1508	6513
94	1527	6513
95	1547	6513
96	1567	6512
97	1587	6511
98	1607	6511
99	1629	6517
100	1651	6524
101	1673	6528
102	1693	6526
103	1714	6528
104	1735	6529
105	1756	6528
106	1776	6525
107	1796	6522
108	1824	6544
109	1848	6554
110	1874	6570
111	1898	6576
112	1919	6574
113	1939	6566
114	1964	6577
115	1997	6612
116	2031	6649
117	2064	6683
118	2097	6715
119	2130	6746
120	2164	6778
121	2198	6811
122	2231	6838
123	2273	6893
124	2314	6942
125	2353	6985
126	2388	7013
127	2431	7065
128	2464	7088
129	2497	7107
130	2529	7124
131	2561	7140
132	2593	7155
133	2626	7172
134	2665	7207
135	2705	7240
136	2739	7258
137	2772	7273
138	2826	7341
139	2875	7394
140	2916	7426
141	2954	7449
142	2989	7463
143	3045	7529
144	3076	7533
145	3107	7535
