iter	Passed	Remaining
0	1	187
1	4	201
2	6	202
3	8	203
4	10	206
5	13	204
6	15	208
7	18	211
8	21	215
9	23	214
10	26	216
11	29	218
12	33	223
13	36	222
14	38	217
15	41	215
16	44	215
17	48	220
18	52	223
19	55	223
20	58	221
21	62	220
22	64	216
23	67	213
24	69	209
25	73	209
26	76	207
27	79	204
28	82	201
29	84	198
30	87	195
31	90	192
32	93	189
33	96	187
34	99	184
35	102	182
36	105	180
37	108	176
38	111	173
39	113	170
40	116	167
41	119	164
42	122	161
43	123	156
44	124	152
45	126	148
46	128	144
47	129	140
48	131	136
49	132	132
50	133	128
51	135	124
52	136	120
53	137	117
54	138	113
55	139	109
56	141	106
57	142	103
58	144	100
59	145	97
60	147	94
61	148	90
62	149	88
63	151	85
64	152	82
65	154	79
66	155	76
67	156	73
68	158	71
69	159	68
70	160	65
71	161	62
72	163	60
73	164	57
74	165	55
75	167	52
76	168	50
77	169	47
78	171	45
79	172	43
80	173	40
81	175	38
82	176	36
83	177	33
84	179	31
85	180	29
86	181	27
87	183	24
88	184	22
89	185	20
90	186	18
91	188	16
92	189	14
93	190	12
94	192	10
95	193	8
96	194	6
97	196	4
98	197	1
99	199	0
